"PID","Address","Planning Commission Recommended Future Built Form","City Council Amended Future Built Form","ward"
"1002924110169","1  ADDRESS PENDING","Corridor 4","Corridor 3",1
"0302924440101","145  29TH AVE NE","Corridor 4","Corridor 3",1
"1002924140153","2514  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140136","2515  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140152","2518  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140137","2519  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140151","2522  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140138","2523  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140139","2525  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140150","2526  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140149","2530  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140140","2531  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140141","2533  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140148","2534  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140142","2537  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140147","2538  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140189","2541  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140090","2548  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140089","2550  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140164","2551  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140165","2555  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140060","2600  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140166","2601  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140059","2606  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140167","2607  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140058","2610  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140168","2613  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140057","2614  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140056","2618  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140169","2619  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140055","2622  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140054","2626  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140039","2627  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140053","2630  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140040","2631  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140052","2632  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140041","2633  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140051","2636  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140042","2639  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140050","2642  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140043","2643  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140186","2646  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140044","2647  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140185","2650  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140045","2651  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140046","2657  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924140048","2658  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110106","2700  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110132","2701  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110105","2706  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110133","2707  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110104","2710  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110134","2711  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110103","2714  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110135","2715  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110136","2717  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110102","2718  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110101","2722  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110137","2723  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110138","2727  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110168","2730  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110139","2731  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110099","2734  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110140","2735  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110098","2738  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110141","2739  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110097","2742  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110142","2743  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110157","2746  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110143","2747  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110156","2750  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110144","2751  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110095","2754  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110145","2755  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110146","2759  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110167","2801  MARSHALL ST NE","Corridor 4","Corridor 3",1
"1002924110041","2810  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110018","2811  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110040","2814  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110019","2815  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110039","2818  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110020","2819  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110038","2822  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110021","2823  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110037","2826  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110022","2827  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110036","2830  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110023","2831  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110150","2834  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110024","2835  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110149","2838  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110025","2839  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110034","2842  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110026","2843  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110033","2846  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110027","2847  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110028","2851  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110166","2851  MARSHALL ST NE","Corridor 4","Corridor 3",1
"1002924110032","2854  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110029","2855  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110030","2859  GRAND ST NE","Corridor 4","Corridor 3",1
"1002924110031","2860  GRAND ST NE","Corridor 4","Corridor 3",1
"0302924440137","2903  MARSHALL ST NE","Corridor 4","Corridor 3",1
"0302924440102","2911  GRAND ST NE","Corridor 4","Corridor 3",1
"0302924440069","2911  MARSHALL ST NE","Corridor 4","Corridor 3",1
"0302924440138","2915  MARSHALL ST NE","Corridor 4","Corridor 3",1
"0302924440146","2919  RANDOLPH ST NE","Corridor 4","Corridor 3",1
"0302924440076","2931  MARSHALL ST NE","Corridor 4","Corridor 3",1
"0302924440139","2935  MARSHALL ST NE","Corridor 4","Corridor 3",1
"0302924440082","2955  MARSHALL ST NE","Corridor 4","Corridor 3",1
"0302924440059","3001  COLUMBIA AVE","Corridor 4","Corridor 3",1
"1002924110094","44  28TH AVE NE","Corridor 4","Corridor 3",1
"1002924140091","48  26TH AVE NE","Corridor 4","Corridor 3",1
"0102924340002","1516  ST ANTHONY PKWY","Corridor 4","Corridor 3",1
"0102924120044","1600  37TH AVE NE","Corridor 4","Corridor 3",1
"0102924120035","1600  HOLLYWOOD AVE NE","Corridor 4","Corridor 3",1
"0102924120078","1601  36TH AVE NE","Corridor 4","Corridor 3",1
